File,Language,Size,Range,Type,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output3440.txt,java,10,142,1,4.36,0.51,268900,0.046594943
perf_output4058.txt,java,10,202,1,4.30,0.52,252278,0.046486770
perf_output4464.txt,java,10,358,1,4.19,0.51,257193,0.046429558
perf_output569.txt,java,10,309,1,4.24,0.50,260958,0.046582725
perf_output4096.txt,java,10,695,1,4.26,0.51,254786,0.046509626
perf_output744.txt,java,10,487,1,4.28,0.51,254255,0.046301118
perf_output4897.txt,java,10,929,1,4.30,0.51,261063,0.046790908
perf_output4112.txt,java,10,486,1,4.34,0.52,255857,0.046778549
perf_output960.txt,java,10,284,1,4.30,0.51,261467,0.046560557
perf_output4075.txt,java,10,778,1,4.28,0.52,263375,0.046621566
perf_output348.txt,java,10,613,1,4.28,0.51,261306,0.046381993
perf_output748.txt,java,10,94,1,4.31,0.51,256107,0.046363452
perf_output2017.txt,java,10,908,1,4.31,0.52,260640,0.046465490
perf_output4500.txt,java,10,460,1,4.31,0.51,263932,0.046536977
perf_output1909.txt,java,10,817,1,4.28,0.50,258449,0.046526204
perf_output3705.txt,java,10,902,1,4.25,0.50,260911,0.046372933
perf_output4432.txt,java,10,967,1,4.26,0.50,256535,0.046389395
perf_output1339.txt,java,10,404,1,4.34,0.51,273652,0.046718385
perf_output75.txt,java,10,499,1,4.31,0.51,266704,0.046860328
perf_output4952.txt,java,10,336,1,4.31,0.52,260894,0.046663363
perf_output2889.txt,java,10,566,1,4.28,0.51,257137,0.046766288
perf_output2627.txt,java,10,756,1,4.24,0.50,266809,0.046419607
perf_output2108.txt,java,10,167,1,4.30,0.51,265059,0.046424876
perf_output253.txt,java,10,763,1,4.28,0.51,260840,0.046749383
perf_output2193.txt,java,10,278,1,4.25,0.50,256940,0.046475154
perf_output711.txt,java,10,743,1,7.20,0.59,1541372,0.050480407
perf_output4783.txt,java,10,881,1,4.28,0.51,255741,0.046355904
perf_output4197.txt,java,10,38,1,4.36,0.52,260194,0.046705561
perf_output4662.txt,java,10,310,1,4.29,0.51,258460,0.046379162
perf_output4769.txt,java,10,696,1,4.55,0.52,465451,0.047097506
perf_output3133.txt,java,10,228,1,4.26,0.51,252831,0.046542861
perf_output2016.txt,java,10,248,1,4.36,0.52,274097,0.047105028
perf_output4030.txt,java,10,821,1,4.31,0.51,261612,0.046631748
perf_output596.txt,java,10,353,1,4.74,0.53,300115,0.048786043
perf_output844.txt,java,10,200,1,5.20,0.54,486244,0.050049885
perf_output3341.txt,java,10,93,1,4.25,0.50,253668,0.046391763
perf_output564.txt,java,10,735,1,4.35,0.51,259859,0.046912554
perf_output1493.txt,java,10,724,1,4.47,0.52,283798,0.047687013
perf_output3615.txt,java,10,959,1,4.28,0.52,264853,0.046428944
perf_output1099.txt,java,10,367,1,4.30,0.50,261176,0.046693843
perf_output1789.txt,java,10,44,1,4.34,0.51,263426,0.046728136
perf_output2619.txt,java,10,322,1,4.28,0.51,269443,0.046492184
perf_output1024.txt,java,10,287,1,4.25,0.50,260037,0.046432768
perf_output528.txt,java,10,831,1,4.28,0.50,258491,0.046405419
perf_output1244.txt,java,10,47,1,4.28,0.50,259838,0.046461479
perf_output707.txt,java,10,258,1,4.29,0.51,268962,0.046814526
perf_output4583.txt,java,10,306,1,4.26,0.51,259605,0.046446690
perf_output4016.txt,java,10,297,1,4.30,0.51,251304,0.046501417
perf_output2919.txt,java,10,987,1,4.31,0.51,260891,0.046824151
perf_output3441.txt,java,10,791,1,4.37,0.52,270237,0.046997711
perf_output3296.txt,java,10,510,1,4.23,0.51,259082,0.046470293
perf_output3959.txt,java,10,552,1,4.40,0.52,261579,0.047024803
perf_output2722.txt,java,10,855,1,4.31,0.51,257210,0.046577543
perf_output821.txt,java,10,526,1,4.31,0.50,254963,0.046364427
perf_output1841.txt,java,10,133,1,4.29,0.51,258057,0.046557716
perf_output2453.txt,java,10,270,1,4.24,0.50,260296,0.046626146
perf_output4109.txt,java,10,152,1,4.36,0.52,257205,0.047080553
perf_output3478.txt,java,10,360,1,4.32,0.51,258746,0.046726586
perf_output4196.txt,java,10,379,1,4.31,0.52,259180,0.046840859
perf_output3912.txt,java,10,283,1,4.28,0.51,259476,0.046780028
