File,Language,Size,Range,Type,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output33.txt,python,100,193,1,2.31,0.26,200519,0.022932407
perf_output15.txt,python,100,258,1,2.32,0.26,199571,0.023185194
perf_output23.txt,python,100,582,1,2.32,0.26,201372,0.022986156
perf_output10.txt,python,100,323,1,2.24,0.25,192390,0.022517837
perf_output79.txt,python,100,100,1,2.32,0.26,197547,0.022799251
perf_output32.txt,python,100,179,1,2.31,0.26,199513,0.022794112
perf_output88.txt,python,100,163,1,2.31,0.26,194759,0.022707741
perf_output28.txt,python,100,370,1,2.31,0.26,193153,0.022738987
perf_output82.txt,python,100,339,1,2.32,0.26,203068,0.022979291
perf_output6.txt,python,100,926,1,2.31,0.26,202031,0.022765005
perf_output51.txt,python,100,109,1,2.31,0.26,196104,0.022867672
perf_output39.txt,python,100,811,1,2.21,0.25,192556,0.022567389
perf_output81.txt,python,100,608,1,2.25,0.25,194929,0.022552125
perf_output86.txt,python,100,774,1,2.31,0.26,200072,0.022563680
perf_output1.txt,python,100,499,1,2.40,0.26,194178,0.023268469
perf_output13.txt,python,100,134,1,2.22,0.26,193600,0.022665320
perf_output29.txt,python,100,140,1,2.32,0.26,206774,0.022933688
perf_output31.txt,python,100,322,1,2.31,0.26,200428,0.022844300
perf_output53.txt,python,100,534,1,2.34,0.26,207847,0.023167428
perf_output89.txt,python,100,346,1,2.31,0.26,197777,0.022831488
perf_output77.txt,python,100,637,1,2.32,0.26,193990,0.022610442
perf_output20.txt,python,100,686,1,2.30,0.26,200654,0.022869877
perf_output11.txt,python,100,355,1,2.31,0.26,199104,0.022758208
perf_output43.txt,python,100,441,1,2.31,0.26,200972,0.023013558
perf_output9.txt,python,100,809,1,2.30,0.27,1058264,0.022819191
perf_output5.txt,python,100,265,1,2.31,0.26,202485,0.022851634
perf_output35.txt,python,100,811,1,2.30,0.27,654775,0.022776941
perf_output58.txt,python,100,249,1,2.32,0.26,197759,0.022761847
perf_output90.txt,python,100,430,1,2.32,0.26,206506,0.023030514
perf_output49.txt,python,100,334,1,2.27,0.25,194198,0.022763775
perf_output97.txt,python,100,168,1,2.33,0.26,198139,0.022851229
perf_output14.txt,python,100,200,1,2.25,0.25,192781,0.022482368
perf_output94.txt,python,100,896,1,2.32,0.26,202608,0.022797261
perf_output85.txt,python,100,570,1,2.28,0.25,201229,0.022713757
perf_output37.txt,python,100,221,1,2.28,0.25,201293,0.022846713
perf_output65.txt,python,100,991,1,2.25,0.25,196453,0.022679602
perf_output45.txt,python,100,481,1,2.32,0.26,205144,0.022770318
perf_output72.txt,python,100,139,1,2.37,0.26,202718,0.023062733
perf_output54.txt,python,100,345,1,2.32,0.26,196681,0.022727206
perf_output67.txt,python,100,131,1,2.32,0.26,198144,0.022849823
perf_output24.txt,python,100,866,1,2.31,0.26,197232,0.022863440
perf_output84.txt,python,100,812,1,2.32,0.26,202001,0.022964577
perf_output59.txt,python,100,901,1,2.31,0.26,201886,0.022907841
perf_output74.txt,python,100,133,1,2.47,0.27,438435,0.022624973
perf_output70.txt,python,100,348,1,2.32,0.26,191422,0.022548677
perf_output61.txt,python,100,495,1,2.32,0.26,446633,0.022691844
perf_output64.txt,python,100,790,1,2.27,0.25,197289,0.022596124
perf_output19.txt,python,100,537,1,2.37,0.26,200572,0.023158829
perf_output47.txt,python,100,272,1,2.32,0.26,201958,0.022528662
perf_output75.txt,python,1000,711,1,2.32,0.26,206229,0.022887762
perf_output46.txt,python,1000,335,1,2.33,0.26,211472,0.022762938
perf_output96.txt,python,1000,812,1,2.31,0.26,194626,0.022918615
perf_output44.txt,python,1000,820,1,2.33,0.26,205122,0.023006735
perf_output87.txt,python,1000,982,1,2.32,0.26,194078,0.022804902
perf_output50.txt,python,1000,918,1,2.21,0.25,197157,0.022742227
perf_output17.txt,python,1000,947,1,2.33,0.26,198182,0.022675712
perf_output95.txt,python,1000,490,1,2.25,0.25,197205,0.022779541
perf_output4.txt,python,1000,297,1,2.31,0.26,309121,0.022744922
perf_output68.txt,python,1000,452,1,2.27,0.25,200540,0.022774868
perf_output34.txt,python,1000,940,1,2.28,0.25,199430,0.022820643
